Mushroom_ID;Original_Index;Tree_Name;Node_ID;Path_Step;Is_On_Path;Is_Final_Leaf_For_Mushroom;Tree_Vote;Decision_Direction;Decision_Value;Next_Node_ID
M01;305;Tree 1;0;0;1;0;Edible;True;False;1
M01;305;Tree 1;1;1;1;0;Edible;True;False;2
M01;305;Tree 1;2;2;1;0;Edible;True;False;3
M01;305;Tree 1;3;3;1;0;Edible;True;False;4
M01;305;Tree 1;4;4;1;1;Edible;;;
M01;305;Tree 2;0;0;1;0;Edible;True;False;1
M01;305;Tree 2;1;1;1;0;Edible;True;False;2
M01;305;Tree 2;2;2;1;0;Edible;True;False;3
M01;305;Tree 2;3;3;1;0;Edible;True;False;4
M01;305;Tree 2;4;4;1;1;Edible;;;
M01;305;Tree 3;0;0;1;0;Edible;False;True;10
M01;305;Tree 3;10;1;1;0;Edible;False;True;18
M01;305;Tree 3;18;2;1;0;Edible;True;False;19
M01;305;Tree 3;19;3;1;1;Edible;;;
M01;305;Tree 4;0;0;1;0;Edible;True;False;1
M01;305;Tree 4;1;1;1;0;Edible;True;False;2
M01;305;Tree 4;2;2;1;0;Edible;False;True;6
M01;305;Tree 4;6;3;1;1;Edible;;;
M01;305;Tree 5;0;0;1;0;Edible;True;False;1
M01;305;Tree 5;1;1;1;0;Edible;True;False;2
M01;305;Tree 5;2;2;1;0;Edible;True;False;3
M01;305;Tree 5;3;3;1;0;Edible;False;True;5
M01;305;Tree 5;5;4;1;1;Edible;;;
M01;305;Tree 6;0;0;1;0;Edible;False;True;12
M01;305;Tree 6;12;1;1;0;Edible;True;False;13
M01;305;Tree 6;13;2;1;0;Edible;False;True;17
M01;305;Tree 6;17;3;1;0;Edible;False;True;19
M01;305;Tree 6;19;4;1;1;Edible;;;
M01;305;Tree 7;0;0;1;0;Edible;False;True;10
M01;305;Tree 7;10;1;1;0;Edible;True;False;11
M01;305;Tree 7;11;2;1;0;Edible;True;False;12
M01;305;Tree 7;12;3;1;0;Edible;False;True;14
M01;305;Tree 7;14;4;1;1;Edible;;;
M01;305;Tree 8;0;0;1;0;Edible;True;False;1
M01;305;Tree 8;1;1;1;0;Edible;True;False;2
M01;305;Tree 8;2;2;1;1;Edible;;;
M01;305;Tree 9;0;0;1;0;Edible;False;True;14
M01;305;Tree 9;14;1;1;0;Edible;False;True;20
M01;305;Tree 9;20;2;1;1;Edible;;;
M02;917;Tree 1;0;0;1;0;Edible;True;False;1
M02;917;Tree 1;1;1;1;0;Edible;True;False;2
M02;917;Tree 1;2;2;1;0;Edible;True;False;3
M02;917;Tree 1;3;3;1;0;Edible;True;False;4
M02;917;Tree 1;4;4;1;1;Edible;;;
M02;917;Tree 2;0;0;1;0;Edible;True;False;1
M02;917;Tree 2;1;1;1;0;Edible;True;False;2
M02;917;Tree 2;2;2;1;0;Edible;True;False;3
M02;917;Tree 2;3;3;1;0;Edible;True;False;4
