Tree_Name;Path_ID;Point_Order;Node_ID;X;Y;Label;Type;Is_Node;Samples;Branch_Size;Is_Leaf;Feature;Operator;Threshold;True_Label;False_Label;Samples_Node;Value_Edible;Value_Poisonous;Probability_Edible;Probability_Poisonous;Predicted_Class
Tree 1;Tree 1_TRUNK;0;-1;0.5;-0.92;;Trunk;0;5128;11.0;;;;;;;;;;;;
Tree 1;Tree 1_TRUNK;1;-1;0.5065082560867634;-0.7771428571428571;;Trunk;0;5128;10.714285714285714;;;;;;;;;;;;
Tree 1;Tree 1_TRUNK;2;-1;0.5117274722370204;-0.6342857142857143;;Trunk;0;5128;10.428571428571429;;;;;;;;;;;;
Tree 1;Tree 1_TRUNK;3;-1;0.5146239186827274;-0.4914285714285715;;Trunk;0;5128;10.142857142857142;;;;;;;;;;;;
Tree 1;Tree 1_TRUNK;4;-1;0.5146239186827274;-0.34857142857142864;;Trunk;0;5128;9.857142857142858;;;;;;;;;;;;
Tree 1;Tree 1_TRUNK;5;-1;0.5117274722370204;-0.20571428571428574;;Trunk;0;5128;9.571428571428571;;;;;;;;;;;;
Tree 1;Tree 1_TRUNK;6;-1;0.5065082560867634;-0.06285714285714294;;Trunk;0;5128;9.285714285714286;;;;;;;;;;;;
Tree 1;Tree 1_TRUNK;7;-1;0.5;0.07999999999999996;;Trunk;0;5128;9.0;;;;;;;;;;;;
Tree 1;Tree 1_E_0;0;0;0.5;0.08;stalk-surface-above-ring: k;Split;1;3618;10.0;0.0;stalk-surface-above-ring_k;<=;0.5;Yes;No;5128.0;0.5110782865583456;0.48892171344165436;0.5110782865583456;0.48892171344165436;Edible
Tree 1;Tree 1_E_0;1;1;0.4784279512933243;0.1845142225114015;;Edge;0;3618;9.83996322629557;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;2;1;0.4571034186484374;0.289028445022803;;Edge;0;3618;9.679926452591138;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;3;1;0.43624406403712823;0.3935426675342045;;Edge;0;3618;9.519889678886708;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;4;1;0.41601144209503993;0.49805689004560605;;Edge;0;3618;9.359852905182276;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;5;1;0.39649151424831824;0.6025711125570076;;Edge;0;3618;9.199816131477846;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;6;1;0.3776842804969632;0.707085335068409;;Edge;0;3618;9.039779357773414;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;7;1;0.3595037794148289;0.8115995575798104;;Edge;0;3618;8.879742584068984;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;8;1;0.3417884563662724;0.916113780091212;;Edge;0;3618;8.719705810364552;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_0;9;1;0.3243206493795047;1.0206280026026135;stalk-root: c;Split;1;3618;8.559669036660122;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_1;0;1;0.3243206493795047;1.0206280026026135;stalk-root: c;Split;1;3295;8.559669036660122;0.0;stalk-root_c;<=;0.5;Yes;No;3618.0;0.7032179083595663;0.29678209164043373;0.7032179083595663;0.29678209164043373;Edible
Tree 1;Tree 1_E_1;1;2;0.29546448573083955;1.121740209233916;;Edge;0;3295;8.521298413890857;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;2;2;0.26685583814396313;1.2228524158652185;;Edge;0;3295;8.482927791121595;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;3;2;0.23871236859066455;1.323964622496521;;Edge;0;3295;8.44455716835233;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;4;2;0.21119563170658676;1.4250768291278235;;Edge;0;3295;8.406186545583068;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;5;2;0.18439158891787558;1.526189035759126;;Edge;0;3295;8.367815922813804;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;6;2;0.158300240224531;1.6273012423904283;;Edge;0;3295;8.329445300044542;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;7;2;0.13283562420040726;1.7284134490217307;;Edge;0;3295;8.291074677275278;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;8;2;0.10783618620986127;1.8295256556530335;;Edge;0;3295;8.252704054506015;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_1;9;2;0.0830842642811041;1.9306378622843359;odor: p;Split;1;3295;8.214333431736751;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_2;0;2;0.08308426428110409;1.9306378622843359;odor: p;Split;1;3139;8.214333431736751;0.0;odor_p;<=;0.5;Yes;No;3295.0;0.674633770239013;0.3253662297609869;0.674633770239013;0.3253662297609869;Edible
Tree 1;Tree 1_E_2;1;3;0.07930719030965068;2.043189426304337;;Edge;0;3139;8.195127871290408;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;2;3;0.07577763239998607;2.1557409903243383;;Edge;0;3139;8.175922310844065;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;3;3;0.07271325252389926;2.2682925543443395;;Edge;0;3139;8.156716750397722;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;4;3;0.07027560531703325;2.3808441183643407;;Edge;0;3139;8.137511189951379;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;5;3;0.06855065220553386;2.4933956823843424;;Edge;0;3139;8.118305629505034;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;6;3;0.06753839318940108;2.6059472464043436;;Edge;0;3139;8.099100069058691;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;7;3;0.06715286684248908;2.718498810424345;;Edge;0;3139;8.079894508612348;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;8;3;0.06723251852915489;2.831050374444346;;Edge;0;3139;8.060688948166005;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_2;9;3;0.06755968627760951;2.9436019384643473;stalk-root: r;Split;1;3139;8.041483387719662;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_3;0;3;0.06755968627760951;2.9436019384643473;stalk-root: r;Split;1;3024;8.041483387719662;0.0;stalk-root_r;<=;0.5;Yes;No;3139.0;0.7074994946432182;0.2925005053567819;0.7074994946432182;0.2925005053567819;Edible
Tree 1;Tree 1_E_3;1;4;0.06232041655049479;3.065454795714105;;Edge;0;3024;8.0270179475026;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
Tree 1;Tree 1_E_3;2;4;0.05732866288516888;3.187307652963863;;Edge;0;3024;8.012552507285537;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
Tree 1;Tree 1_E_3;3;4;0.05280208725342079;3.3091605102136215;;Edge;0;3024;7.998087067068475;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
Tree 1;Tree 1_E_3;4;4;0.04890224429089347;3.4310133674633794;;Edge;0;3024;7.983621626851413;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
Tree 1;Tree 1_E_3;5;4;0.04571509542373277;3.5528662247131373;;Edge;0;3024;7.9691561866343505;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
Tree 1;Tree 1_E_3;6;4;0.043240640651938694;3.674719081962895;;Edge;0;3024;7.954690746417288;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
Tree 1;Tree 1_E_3;7;4;0.04139291854936538;3.796571939212653;;Edge;0;3024;7.940225306200226;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
Tree 1;Tree 1_E_3;8;4;0.04001037448036991;3.9184247964624115;;Edge;0;3024;7.925759865983164;1.0;;;;;;3024.0;0.6966457023060797;0.30335429769392036;0.6966457023060797;0.30335429769392036;Edible
